id_ci,id_delito,id_vicf,id_tv,id_tpm,sexo,genero,pob,disc,fha_nac,edad,nacional,usuario_envio,fecha_envio
AME/AMC/00/MPI/443/00475/26/05,443,3,1,6,1,1,4,4,,14,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00475/26/05,443,4,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00475/26/05,443,5,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00476/26/05,126,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00476/26/05,184,2,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00482/26/05,443,1,1,6,1,1,4,4,,38,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00483/26/05,443,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00485/26/05,443,1,1,6,1,1,4,4,,54,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00486/26/05,443,1,1,6,2,2,4,4,,18,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/514/00473/26/05,172,2,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/514/00473/26/05,514,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/539/00474/26/05,539,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/610/00422/26/05,636,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/610/00440/26/05,636,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/610/00478/26/05,633,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/611/00418/26/05,611,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/619/00437/26/05,1052,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/619/00449/26/05,636,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/629/00454/26/05,629,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/629/00481/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/651/00471/26/05,651,1,3,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/775/00464/26/05,775,1,1,6,2,2,4,4,,48,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/918/00448/26/05,918,1,1,6,2,2,4,4,1993-09-21,32,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/918/00448/26/05,918,2,1,6,2,2,4,4,2017-11-06,8,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/918/00468/26/05,918,1,1,6,2,2,4,4,1996-10-20,29,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/918/00469/26/05,918,1,1,6,1,1,4,4,1964-06-24,63,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/918/00477/26/05,918,1,1,6,2,2,4,4,1991-04-10,34,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/918/00477/26/05,918,2,1,6,1,1,4,4,2014-04-13,12,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/918/00477/26/05,918,3,1,6,2,2,4,4,2019-01-22,7,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/046/02168/26/05,46,1,1,6,2,2,4,4,,39,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/046/02192/26/05,46,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/046/02193/26/05,46,1,1,6,2,2,4,4,,57,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/046/02283/26/05,46,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/046/02288/26/05,46,1,1,6,2,2,4,4,,66,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/046/02305/26/05,46,1,1,6,1,1,4,4,,33,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/067/02292/26/05,67,1,3,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/1049/02280/26/05,1049,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/1051/02221/26/05,1051,1,1,6,1,1,4,4,,35,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/1052/02189/26/05,1052,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/126/02071/26/05,126,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/126/02150/26/05,126,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/126/02161/26/05,126,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/126/02164/26/05,126,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/126/02164/26/05,46,2,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/126/02216/26/05,126,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/126/02218/26/05,126,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/126/02241/26/05,126,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/126/02262/26/05,126,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/126/02285/26/05,126,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/126/02364/26/05,126,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/126/02372/26/05,126,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02035/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02101/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02102/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02126/26/05,173,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02153/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02167/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02185/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02186/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02205/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02238/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02239/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02240/26/05,173,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02246/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02247/26/05,173,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02257/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02258/26/05,173,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02259/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02267/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02279/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02306/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02363/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02369/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/134/02399/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/172/02088/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/172/02172/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02041/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02042/26/05,8,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02043/26/05,395,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02044/26/05,184,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02045/26/05,636,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02046/26/05,395,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02048/26/05,1520,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02051/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02053/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02054/26/05,603,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02055/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02057/26/05,603,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02059/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02060/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02061/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02062/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02066/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02067/26/05,781,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02073/26/05,184,1,1,6,1,1,4,4,,35,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02110/26/05,842,1,1,6,3,3,4,4,,13,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02110/26/05,842,2,1,6,3,3,4,4,,14,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02111/26/05,781,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02114/26/05,1520,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02115/26/05,184,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02117/26/05,395,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02122/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02124/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02125/26/05,603,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02127/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02128/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02129/26/05,184,1,1,6,2,2,4,4,,21,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02131/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02132/26/05,184,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02212/26/05,184,1,1,6,2,2,4,4,,52,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02217/26/05,184,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02219/26/05,184,1,1,6,1,1,4,4,,37,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02223/26/05,1512,1,1,6,1,1,4,4,,45,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02224/26/05,633,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02233/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02252/26/05,184,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02253/26/05,395,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02272/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02273/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02315/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02317/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02319/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02320/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02322/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02323/26/05,395,1,3,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02324/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02325/26/05,184,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02326/26/05,184,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02327/26/05,395,1,3,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02328/26/05,184,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02329/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02330/26/05,184,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/CHA/00/MPI/184/02331/26/05,184,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
